<title>曉寢</title>,<text>曉寢凝寒思。捋鬚氷入懷。童言昨夜雪。牕外小松埋。</text>
<title>悼金童子重鎭 幷序</title>,<text>金童子閭巷人。生十二喪其母。築室於場。爲孺子泣。明年童子死。嗟呼。童子徒知死之爲孝。而不知死之爲非孝。其亦年之未至。而又局於所生。不及聞先王之制禮歟。童子資識明達。神志以靈。當其毁也。人有告之以先王制禮者。其必惕然而悟。怵然而感。如孟陋之爲。而惜乎童子處於闤闠。其所與遊者。僻無以是告之也。雖然童子之志。惟曰喪致乎哀而已。其不幸而死。非童子之罪也。童子於是乎孝矣。童子彈碁善飮酒。又善爲詩。甞登弼雲峰作弼雲峯詩。詩語奇逸。往往有傳誦者。余旣異童子之生。又哀童子之死。作哀詩四章。俾歌而虞之。萋萋原上栢。柯葉日枯萎。樹枯土不乾。孝子淚如水。二歲離母懷。五歲誦戴記。十二縈憂苦。十三毁而死。斂時脫遺縗。縗衣長尺咫。未忍持塡棺。爲拭慈父淚。檜風何靡靡。素冠競貽刺。嘅彼稻錦夫。得不愧童子。</text>
<title>疊贈嶺南亞使權士恢十二首</title>,<text>霏霏洛江雨。重逢十年人。水部梅花老。溪堂物態新。一官身是客。千里我爲鄰。萍梗隨流去。東西豈有因。朱門夜如市。白簡曉登臺。驚動天官長。光推幕府材。人間有三惡。名下不重來。去矣多殊觀。伽倻雪壯哉。聞道伽倻雪。齊於疊石㙜。麥人垂素領。秧馬蹴銀盃。聖主憂民困。朝廷擇吏才。送君還一笑。何術答天災。樹老忠臣廟。城荒處士廬。衣冠尊退學。童稚讀朱書。物産通倭國。江山自赫居。故人官就此。胷抱定何如。睡起砧山月。琴樓紫竹陰。靜聽絃上語。知有醉中吟。燕玉兼寒暖。蠻盃任淺深。却憐書記老。回首百年心。天地東江濶。風塵西井幽。來沾石榴雨。歸及稻花秋。送別仍他席。吟成寄遠郵。憑將萬金字。珍重戒沉浮。無心成遠望。愁外故山靑。破屋天星動。荒畦野水平。京鄕俱旅跡。江漢一浮萍。欲寄家書去。關過達井營。家遠無來使。音容靜一秋。風塵雙鬂鶴。天地一沙𩿨。關格衰年病。盤飧客日憂。殷勤萬重意。暫屈致書郵。憶昔村南社。菲才幸忝叨。詞章蕙子老。材力竹君豪。紙價靑錢重。樓名白雪高。歸來但華表。獨鶴向人號。驥老材無用。松荒氣不膠。文章悲去日。羇旅負淸朝。長夏思偏冷。衰年病又痟。遙憐琴鶴夜。滿眼薦氷醪。窈窕淸泉宅。寒松獨掩關。詩成功拙際。道在是非間。𩿨去機何有。雲歸意自閒。今宵見佳月。誰昔夢離顔。寂寂江南弄。懷君屬早凉。暮雲增逝鳥。暗露動寒螿。作客非今日。思歸是異鄕。漸看巢鷰老。賓鴈欲南翔。</text>
<title>和奉靑霞子</title>,<text>山南消息近如何。竹瘦松寒自一家。中谷晩烟齋磬歇。前江明月釣船多。荒田老木春生色。小閣殘梅雪送花。爲報靑霞道人說。洞雲深處數相過。</text>
<title>挽李君聖寬十二絶</title>,<text>健釰深深不見鋒。有時磨礪氣沉䧺。未逢盤錯終何用。用在尋常履屐中。嶺氣沉凝嶺態眞。不曾修餙衒於人。休向霧中論月色。霧開方看月精神。牕日輝輝筆吐花。金山故事入編摩。翰林四葉遺風在。在野堪爲野史家。釋義人稱李五經。晩來詞賦亦崢嶸。山南科第紛無數。名論終歸老學生。一笑悠然淸灞津。道峰蒼翠遠留人。應知馬首槐黃色。不及桃花洞裏春。老我曾爲湯餠客。抱來英物試敎啼。今晨祖道靈車發。槥櫝前行不待携。黃壚山下逢迎地。大阮悲啼小阮欷。別後光陰非屢改。怪君顔色看依俙。故宅風烟滿眼來。魂歸上下獨徘徊。四壁圖書皆我有。一庭花竹又誰栽。蓮柄層層蓮葉大。小塘春事報花來。花開可耐無人見。故掣花房不遣開。紅桃花發我吟詩。花氣薰人酒一巵。今日我來春寂寂。紅桃花落淚垂垂。黃魚時節倍悽然。憶上春江載酒船。山丹石竹無情思。依舊花開糓雨天。鳧舃翻飛過海門。海門孤月照殘樽。殷勤寄灑浮雲去。遙喚陶唐洞裏魂。</text>
<title>落花巖感古。次臯蘭寺板上韻。</title>,<text>臯蘭寺下怒潮生。龍去臺空氣不平。巖畔落花春寂寂。夕陽無限怪禽鳴。綠玉碑沉生白波。扶蘓城闕噪暮鴉。半巖花落千年事。村女猶歌山有花。山花零落野花荒。黃蝶來時寂寞香。欲向自溫臺上去。舟人猶說義慈王。</text>
<title>到曾若村。問知華齋塟在琵琶洞。距此爲十里。感吟一絶。</title>,<text>琵琶洞口夕陽沉。千載琵琶哀怨深。車前遠近喬君塚。多愧阿瞞不負心。</text>
<title>己巳夏。有晉陽之命。進京拜恩。路中苦熱。捨馬登舟。</title>,<text>蔓草荒烟古壘空。夕陽惟見一漁翁。僮收困騎歸深樹。帆帶輕𩿨落晩洪。水國有天無畏日。舵樓遲月得涼風。依依趨挹浮嵐色。纔見西流忽在東。舟險則取陸故云數聲長笛切雲淸。漁浦漁郞送我情。明月滿江孤棹去。曉風吹雨細花生。一凉到骨恩深淺。三伏流金勢重輕。神勒東㙜烟水濶。牧翁詩與馬巖爭。長年一笑舵樓開。樓下淸江泛綠苔。林靄滿天飛細雨。水風吹浪轉輕雷。雲晴遠樹龍門出。日暮孤舟牛渚來。今夜月明溪上宅。一樽應待遠人回。相風竿影弄新晴。竿上時時怪鳥鳴。山日漸升江色動。水霞初散柳陰淸。雜花多在無名草。深樹猶聞落後鸎。料得石樓歌酒夜。寂寥還憶釣灘聲。殘角吹風向曉天。水螢明滅照愁眠。炊烟未覺楊根遠。日色纔分纛島圓。宿處難忘沽酒舍。歸時更約販樵船。從今便入紅塵去。流水靑山意渺然。</text>
<title>發晉陽舘。道中書事。</title>,<text>南江返照石樓翻。北坨層陰嶺氣昏。田女搬禾多在首。野人栽竹半遮門。蕎花淺白霜前色。樛木深黔火後痕。行役有時奇事在。白𩿨飛急水周村。</text>
<title>同犴諸君。有題名記跡之作。要余和韻。口占錄示。時庚午重三。書于金吾之下長房。</title>,<text>鷰子不來三月初。金鷄消息又全踈。愁時強飮諸公酒。樂處深看五子書。小睡微醒罷漏初。半牕孤火影蕭踈。起來先與諸君說。今夜囚床夢赦書。皓魄生明又一初。禁堂顔色日淸踈。商略古人憂患際。蘓詩不及夏侯書。交欲有終宜有初。追遊不必較親踈。他時雲樹無窮意。今夜詩成取次書。</text>
<title>次鄭湖陰十玩亭題詠韻 亭舊在宜春縣江上。</title>,<text>古蹟湖翁遠。遺墟野老傳。文章雨後屐。家計雪中田。隴麥牛羊地。槮魚鴈天。江山宜一玩。名行貴雙全。</text>
<title>至日感懷</title>,<text>雲物凄寒拂曙凝。破窓飛雪但深憑。佳人不寐針絲短。遊子忘歸粥數仍。待臘柳應心力壯。爭春梅以色香勝。金囊玉筴無消息。憶昨龍顔夢裏承。</text>
<title>遣憫</title>,<text>孤村日落白烟斜。是處蕭條起暮歌。歸翼避風深繞樹。斷雲將雪細成花。盆梅半吐寒無艶。甁釀輕搖凍不波。一線陽生冬至後。行看臘破好年華。</text>
<title>上元感舊。示晉兒。</title>,<text>埤烏啼散我猶眠。晩灶香濃藥飯姸。玄籥氣平三始合。素輪光動一初圓。當時有酒酬佳節。是夜無詩記某年。的的紅欄人去後。初鐘還下禁城烟。</text>
<title>石田李君爾極赴庭試失意。歸路歷訪。臨別覔贈言。余病未能也。旣別又悵然。強起錄奉。</title>,<text>跨檻眉稜曖遠望。夕陽君馬繫枯桑。來時滿袖桃花雨。到處留人菊餠香。看屋有妻梅老瘦。入門携友竹蒼凉。流光荏苒瓊華歇。蹋蹋歌成別意長。逢君一笑大江橫。宇宙高吟白髮生。夜氣一塲鄕士重。時名半國嶺人輕。蜂房刮蜜綿烟細。漁浦收筒葦火明。遊戱風塵聊偶爾。等閒榮落不須驚。霜露凄凄松桂林。一村烟火老人深。少時狷潔仍成性。千歲思量不滿心。病鶴秋懷凝遠想。寒鴉暮色起孤吟。扁舟十里蘆花月。江漢風流自古今。寥寥硯北坐如癡。忽復沉吟有所思。何處春歸連理樹。早時霜掩寄生枝。窮愁或謂端明死。晩興人傳渤海詩。事去憂來無限恨。百年猶速一宵遲。移家曾入小桃源。與子招搖洛上村。五夜松明通破屐。一春花事對深樽。虛舟逐水臨危岸。老木依人守故園。欲寄郵筒更怊悵。滿庭黃葉掩重門。</text>
<title>病中謝伊上老人貽書問訊</title>,<text>藥氣薰人醉。秋吟繞壁哀。伊翁憐我病。昨日有書來。歎息三年別。傷心八月回。丘琴時一響。孤夢爲徘徊。</text>
<title>春雪</title>,<text>山木沉沉落照荒。東風吹雪夜蒼涼。月中見有歸人跡。花裏聞無戱蝶香。留與重三作顔色。任敎滕六狎年光。平蕪寂寞茸茸翠。獨也蒼松意氣長。</text>
<title>病中倚菊遣懷。得近體二十首。奉簡松隱翁。幷序</title>,<text>庭際小池邊。種菊數百本。霜後盛開。有時神息稍平。倚牕看玩。不覺懷發爲詩。病人譫迷之語。胡亂無意思。嗟夫。癲何與盛德事乎。詩本爲菊花作也。篇篇用黃菊菊花黃花等字爲令。亦唐人鳳池之意也。未知尙古者。以爲如何已。環池四面皆黃菊。面面花開花色鮮。花性比人眞烈士。乾剛禀氣自先天。數枝倒水垂鸎羽。萬點翻風散蛺錢。更待明年春雨足。乞來蒼澗舊栽蓮。少歲歌吟託聖朝。中年漂泊寄漁樵。殘詩夜共寒螿語。危鬂秋先落木凋。今雨定知山色瘦。早霜無奈菊花驕。朝華厭厭年光薄。人事天時兩寂寥。郊扉寥落掩蒼苔。遠峀流雲去不回。筇屐乘秋楓葉下。壺觴泛月菊花來。孤城暮角天鵝動。永夜寒砧塞鴈催。三歲未傳懷袖字。相思獨上望鄕臺。危時滄海看風波。平世文章玩物華。甲嶂前迎來雨客。子山東過隔雲家。天邊夢斷白枌樹。秋後詩多黃菊花。留與碧翁爭一席。小塘深處護圓沙。見䯻新收林表峰。一庭蒼翠鎖重重。炎天五月移慈竹。朔雪三冬架怪松。山徑添籬黃菊在。水田看穫白𩿨從。閒中經濟無多事。劣得池園澹澹容。五合盛來合自然。有時乘興泛觥船。前宵喜得呑江夢。南浦增修種秫田。秋事半空霜掩後。舊醅傾盡月圓前。愁中寂歷佳辰至。撩眼黃花政可憐。林木瘦寒鳥擇餘。靑臺物色亦蕭踈。專船未足容家累。因樹那能作屋居。樂土有田閒者主。化翁多意屬之余。菊花潭上誅茅處。白水蒼山畵不如。夜深篝火影相親。間壁蟲聲故近人。葉盡山容眞氣色。秋高月脇頓精神。閒來一壑堪容膝。老去長壺可隱身。復恐衰懷易搖落。急翻黃菊壓蕭晨。天星寂寂帶藜床。曉露涓涓滴菜筐。雲海月沉珠蚌老。斗墟氛掩釰龍藏。已知白髮生寒事。且折黃花嗅暗香。時復振纓歌一曲。景濂池水卽滄浪。閉門涔寂菊花枝。此意寥寥我獨知。巢鷰頻來猶嫌閙。野僧多事或求詩。去年華綬看鴻印。歸日玄都感兎葵。目極雲山紛北向。漢陽城闕在天涯。黃菊開時承夜露。晴窓盥手檢雲編。先民樂處尋玄晤。太極微言遂細箋。生理似秋增澹泊。道心將月共淸圓。雨花風葉同歸盡。寂寞繁華一任天。扶頭一盞漱餘醺。起看爐香換夕曛。紅葉不言秋脉脉。夜天無事月紛紛。黃花亦愛眞元亮。玄草那知後子雲。卧聽兒童相戱語。彼翁今日讀何文。新醅黃菊發春姸。痛飮狂歌黃菊天。物役暫寬花鳥後。閒愁忽到草虫邊。謝公傑句靑山宅。胥老名園白日仙。更與東江漁父約。錦鱗多處泛漁船。亂揷黃花鬂髮明。登高一笑更含情。山名或意生三秀。泉脉多應産百莖。沙伐城荒樵徑合。弘治樓古市塵平。依依白𪆽中分處。二水西南大野橫。老栢霜風入鬂寒。聖人前席愍衰顔。漢文寬賦追三代。賈誼憂時進六歎。昨日罷官歸故里。暮年成癖愛秋山。愁來却共黃花笑。明主恩深便訣難。養正屛成墨本餘。秪今巾篋淚痕枯。足容誰進名齋義。心畫空留揭壁書。御鶴笙高春死閉。降龍衣卷晝筵虛。依稀一夢承華直。黃菊花盆下玉除。戊申秋。余以宮官入直。承上命蒐輯歷代帝王爲太子時懿行凡八事條陳之。上命工圖畵。作爲屛障。名之曰養正。未幾鶴馭賓天。○時侍講世子於九容齋。一日講小學徐行章。因文義釋齋名。偶擧足容重一句。反復納誨。世子改容稱善。退聞賓客之言。葢以前數日。世子與小䆠戱。疾趨顚躓故也。齋壁書天下大平四方無事八字。卽世子手筆也。○重陽日。賜入直上下番黃菊各一盆。檀帝不歸檀木下。我尋檀木目瞢騰。初行樹杪纔聞鳥。漸入山門始見僧。題處拂雲劖怪石。困來披棘揀枯藤。秋花自發仙菴菊。夜夢頻驚佛殿燈。余嘗入妙香山上仙菴。僧言菊花盛開則道塲光明。余聞而樂之。約以重來賞菊者。卒不得遂。故追言之。隱翁家計坐商量。何限哦詩秋葉黃。松影滿門容客過。藕華垂水得魚香。琴中寂歷溪山事。頭上昭森日月光。書寄漳濱休召我。薪憂近作菊花狂。溪柳巖楓落滿庭。虛琴不動響泠泠。崆峒舊屬眞仙地。風月今歸素履亭。木客秋吟蒼雪句。山童夜護白雲扃。黃花古砌重雕餙。歲暮孤芳獨也馨。遷翁華叟會松窩。留我盈盈金叵羅。嶽色秋雲高處得。泉聲夜籟靜時多。南音欲奏渾如夢。北客雖來莫問何。無那霜飆吹露葉。黃花白雪便虞歌。</text>
<title>哭羅友士明 燦</title>,<text>他食哀吾道。游蘭托暮年。祝融非爾相。名祖有孫賢。旅魄棲無地。孤兒哭向天。山河阻咫尺。溪月夢中圓。</text>
<title>甑潭小集後。奉簡雙白主人。</title>,<text>樽醪烘日爛生光。溪籟吟風送晩凉。社樹中間宜此老。甘陵南北本同鄕。放生何處魚游樂。却暑良方肉味香。興罷歸時留後約。景濂池畔醉流觴。</text>
<title>續和雙白主人見寄之韻</title>,<text>羲皇以上有遺民。菊露松風結凈因。一笑浮雲山外事。百年今日座中人。盃行到手猶堪醉。海內同胞自可親。獨立乾坤歌浩浩。滿懷都是太和春。</text>
<title>次韻寄題丹丘使君李季瞻。重修小草亭。</title>,<text>亭在府庭內小池中。卽古曺雪汀所創也。亭新仍得月。照見雪翁心。撫跡方花老。過頭亂茆侵。浮來畵舫小。坐處縠紋深。今古還相接。風流一代臨。</text>
<title>挽羅士明</title>,<text>霜露滿天黃葉飛。空山秋掩薜蘿衣。蘭芳抵死留香焰。鶴骨凝淸耐苦饑。親友自傷無馬賣。窮泉始得有家歸。羅幬莞席今如許。欲奏同聲和者稀。喬木荒墟歲月新。殘花悵望又蕭晨。梁鴻未解因人熱。秦贅非緣爲婦貧。看得癯容終絶俗。畵來孤石卽傳神。遺芬黯黯松翁座。老淚行行點席塵。余馬獨來還獨去。普賢山色動秋瀧。窮交自信淸如水。旅跡同看晩過江。凉月照顔留夕檻。曙霞流影入寒牕。光輝冉冉嵁巖老。誰復因依記石幢。六月林亭柿子靑。夜牕談笑小燈聽。連鄰妄擬千金直。半華平分一壑淸。野日寒凝凄露葉。隴雲愁壓曖晨星。長溪舊友如相問。爲說風霜耐飽更。物色山家十賚榮。感君佳惠許雙成。華陽舊制黃金縷。波若靈根綠玉莖。萬事自從空外滅。片心猶向夢中明。殘詩強替纏綿誄。多愧阿郞泣托情。</text>
<title>一鑑老人宅。賦石假山。</title>,<text>一簣功成積翠間。等閒平地聳雲鬟。平生意在全金華。此日身棲小玉山。只道須彌容芥子。誰知圓嶠落人寰。箇中何限淸虛界。復有澄潭與作顔。</text>
<title>又拈七古</title>,<text>鑑齋老人眞愛山。老去不得窮躋攀。前庭半割餘地少。順勢寬迮鋤草菅。蒼頭日日擔肩赬。背上歷落苔痕斑。近溪遠峒無完膚。山精水怪皆破慳。叢叢騈羅層層積。鳥含蟻述功庸艱。夜來舟移何處壑。眼前突兀靑螺鬟。方壺仙子失所依。六鰲垂頭淚潸潸。老人得之成卧遊。芒鞋竹杖相與閒。朝霞如帶獺尾長。露珠絡續垂珮環。天壇簪笏儼相向。坐狎仙官玉笋班。最是東風三月半。山靑澗碧花復殷。揷花臨水玉女笑。朝雉驚飛繞林間。老人覽此長歎息。援琴一曲悽孤矜。往往枕上山花落。怪鳥含飛去不還。起來屣履步中庭。山光月色同淸嫺。下有淸池相暎發。源頭活水來潺湲。天船泛泛大陵浮。玉井秋氣橫銀灣。門前䢔遝車馬塵。塵外誰知有人寰。</text>
<title>晩歸堂雜詠</title>,<text>蒼官本孤直。拳曲非天眞。雖作萬乘器。終是屈於人。我松如我詩。老去頗成怪。以怪或見賞。所賞形骸外。右怪松庭際黃楊樹。種來歲月多。不乏昂霄志。其於閏月何。可是黃楊樹。五歲再見厄。吾形獨何事。歲歲逢閏朔。右黃楊仲秋十五夜。桂苑風露多。落來月中實。散作人間花。春桂復秋桂。榮耀各一時。風流月桂樹。無月不花之。右月桂朝槿夕已瘁。秋菊時尙早。樊圃短短枝。照眼榴花好。見花言好花。食實言佳實。不言葉吐時。嫰紅亦可悅。右石榴羣芳漸銷歇。吾宇氣色凉。誅茅剪荊棘。裂土封花王。坐閱園中事。牧丹開未開。山家今夜雨。博得富貴來。右牧丹猩猩且問汝。汝血存幾許。一一吐出來。惠此桃花處。雨裛花如醉。日暖花如燒。無端一片飛。含情罵春鳥。右紅桃徐娘破瓜時。顔色嫌脂粉。天生白玉質。到此猶風韻。英英碧桃花。春雪吹不止。下有一老翁。髭鬂花相似。右碧桃西園舊竹短。新笋筆管微。猶存玉版味。不脫錦斕衣。尖尖立如指。密密織如簀。只可遮西日。未堪餉北客。右竹笋葳蕤七絶林。粲粲垂華實。長丫挾火毬。熱喉薦絳雪。和露摘珠實。盛之靑玉凾。殷勤寄遠人。知子好我甘。右柿林靑囊蝟皮。中有赤虬卵。霜重自落來。囊封十字綻。山禽棲不定。中林風雨積。朝來看賦芋。火齊堆盤槅。右栗園</text>
<title>春感</title>,<text>水調歌殘歲月流。老臣三載隔宸旒。東風是日猶料峭。或恐餘寒上玉樓。</text>
<title>挽戚兄鄭僉知 震瑞○二首</title>,<text>賣屋蒼厓瘦。求田洛水肥。夜隨連鴈宿。朝哺伴烏飛。上舍科名小。頭啣老職微。泉門三子候。含笑與同歸。春水相思綠。春花開爲誰。漬綿無薄酒。相紼有哀辭。釰在心相許。車過腹已知。平生善裴令。損益得其宜。</text>
<title>戱題紙障</title>,<text>小障當頭壓夢煩。夢中風伯闘雲孫。朝來呵手芒芒捲。走向前簷急負暄。西樓箏急破牕鳴。遮斷飛廉屬楮生。帷波不動爐烟細。卧聽中林折竹聲。密密防壁隙。勿令風透過。壁風猶可說。心魔奈若何。</text>
<title>題族弟汝容 必默 小寢屛八絶</title>,<text>山中叢桂老。山下荒途橫。寥寥今古意。歲暮丘琴鳴。西日照高堂。姣服斑斕光。半鷄猶庋否。去采南陔香。苦菜啗諸子。長枕樂諸弟。方春諸弟飢。糶歸分朽米。愛君眉間氣。知君好襟懷。問君何所樂。以樂名其齋。撲滿腹便便。其中最難測。氷壺古先生。朝夕與爲樂。風雨琴書亂。閉門山色深。依俙前夜夢。衛王與論襟。顚風吹花樹。花飛墜溷中。莫問花失墜。且去罵顚風。阿容念我獨。携我上前峰。蒼蒼里中樹。不見舍人松。虎頭畵巖石。人在巖石間。我有風霜字。寫君風霜顔。</text>
<title>夜懷汝容。詰朝簡寄。</title>,<text>盈盈菊花露。澹澹菊花盃。東嶺有佳月。美人來不來。</text>
<title>春感吟</title>,<text>憶昨峩冠侍玉除。十行溫綍聖心虛。歸日江湖餘恨在。囊封未奏第三書。</text>
<title>春辭</title>,<text>龍爐勃欝篆烟香。萬歲聲高四拜長。小臣獨有周南恨。遙向天門稱一觴。</text>
<title>伊州歌</title>,<text>木葉橫秋劒氣淸。柳河如帶月孤明。萋萋山海關前草。探馬含嘶自在行。</text>
<title>凉州曲</title>,<text>羊酪初成桑子紅。西凉都護採民風。萬樹梨花明月夜。崑崙新奏玉宸宮。</text>
<title>甘州詞</title>,<text>朱絃淚濕合甘州。笳管無聲四座愁。鳳林關裏浮瓜水。不共黃河東北流。</text>
<title>早春書事。示晉兒。</title>,<text>風日晴暄百蟄驚。病人巾舃試身輕。新春雨露潛龍氣。大地山河顧兎精。破屋依林通竹色。小塘穿石納溪聲。巡簷忽見梅花笑。猶帶峭寒耐瘦生。</text>
<title>邊城少年行</title>,<text>邊城少年馬上飛。八月湖山雪打圍。蒼狐白鹿腰間佩。笑道生擒狐鹿歸。</text>
<title>章華美人曲</title>,<text>井上轆轤紅錦綆。曉風吹動碧梧寒。美人睡起睡未足。脫落銀甁坐長歎。</text>
<title>春祝</title>,<text>六十年前河水淸。是時東國聖人生。聖人花甲王正月。天地春回萬壽觥。聖人六十歲爲春。今歲一初春色新。北斗南山誰作頌。頭童齒豁老詞臣。</text>
<title>春日</title>,<text>霧嶂烟籬坐處安。忽驚朝旭上東闌。欣然脫下琉璃鏡。新曆雙行細細看。</text>
<title>挽黃潤甫 𣽤</title>,<text>少陵野老寄人間。錦里先生去不還。奕葉舊傳黃相國。孫桐新長白華山。傖荒到處聞生語。佳客來時得好顔。最是葭莩私地在。老妻相對淚潺湲。</text>
<title>挽鄭戚 之鏶</title>,<text>吾姜閫法世知聞。鄭氏夫人六代尊。籩豆留傳南祖制。溝塍遠認外家分。重來故土人情別。多見諸君戚誼敦。玉水嬰峯今寂寞。馬岡寒雨落紛紛。歷落瓊華帶夕風。浦雲蕭瑟舊棲空。康成一接嗟吾晩。谷口長貧樂子窮。月路夜迷三樹影。景鍾春入百花叢。英靈未信歸淪寂。多在山光水色中。竹氣翛翛梅韻寒。草堂顔色雪中看。子孫條葉春還冷。經史田疇歲又闌。雒江矧是秋風地。釣艇孤橫明月灘。今日送君歸拜祖。黃壚頂上紫藤巒。梅竹。推原先芬而言。一笑相看秋氣悲。滿庭黃菊寒暉。新題約我扁亭日。後會期君祭墓時。岱嶽旋聞靈馭遠。桓山應伴別禽歸。人間未了餘生債。和淚孤吟薤露詞。</text>
<title>春思</title>,<text>春盤生菜爲誰靑。巒闕懷人氣未平。新石橋南他夜會。禁城鍾漏月三更。</text>
<title>春喜</title>,<text>長竿只合路人看。短笛惟宜鄰子聽。直到春來金帖下。故家遺業得寧馨。化國山河春復還。太平煙月畵中看。太平有象還無象。少者欣欣老者安。殘盃過盡有餘寒。無那先生苜蓿盤。除雪微探窨內事。梅兄無恙竹君安。</text>
<title>塞下曲</title>,<text>聞道官軍方濟師。緘書報與美人期。木蘭祠下春光晩。此意冥冥君自知。旃帳烟沉磧火荒。黃龍城閉月蒼茫。奇兵曉出陰山背。生縛㐫奴谷蠡王。愁時但飮胡姬酒。醉來莫聽胡姬歌。曲終無限相思淚。塞月關雲奈爾何。夢入靑樓不見人。紅羅垂壁淚痕新。覺來風急旗聲凍。欲去巡河雪滿身。奪取胡弓射殺胡。關西俠少羽林孤。歸時約伴長城下。月照腰間金鳳壺。商胡賣馬于闐市。一匹千金買駃騠。陣上騎來逐奔虜。夢河春水不漸蹄。百戰龍荒斬月支。論功一醉告身微。妄男忽佩封侯印。屬聽樓蘭盜殺之。祈連塚像欝崔嵬。看塟嫖姚出塞來。行過祈連齊唱些。夕陽風急鶻飛回。着破先皇舊賜貂。天香消盡雪花飄。縫船不動飛塵暗。玉女秋吟隔絳霄。獨護金瘡卧雪天。近人烽火壓愁眠。三更守吏傳呼急。繒絮南來遆擔肩。半捲紅旓立馬看。狼烟高映塞雲寒。一聲羌笛關山月。可是單于夕拜還。步出營門月色微。明妃祠下雪霏霏。夜深悄渡黃河去。偸取單于寶馬歸。夜宿沙塲闘朔風。朝來無指挽騂弓。單于自得燕行說。絹絮紛披草棘中。萬里沙平六幕淸。車師西北徧春耕。軍中夜宴新都護。金七三巡吹笛聲。軺車閒繫戍樓邊。關月無端十二圓。只道桑弘長心筭。還聞楊可縱緡錢。時余讀平準書。感而賦之。</text>
<title>桃源詞</title>,<text>鷄犬寥寥六百年。桃花籬落鎖秦烟。秦皇自謂愚黔首。黔首愚時去作仙。</text>
<title>偕隱詞五章</title>,<text>永夏憀憀。偶閱古詩。得祝牧子偕隱一章。眞千古賢夫婦之事也。不覺三歎。和成五疊。詞雖拙。寄意則同。書罷示內子。我衣如雪。子錦如花。于以濯之。淸泠之波。呦呦鹿鳴。亦在車下。誰其御者。惟子與我。賣我圖書。和子璣珥。于何其直。半畒瓜地。江有翔鴻。野有鳴鳧。弋言加之。行與子俱。山雨一犂。山風一笠。山酒一盛。樂子嘉饁。</text>
<title>春園五章</title>,<text>春來春去。覽時物之榮悴。人少人老。感吾生之行休。爲之賦。春園漠漠。春木遲遲。其遲其徐。雨雪紛霏。曾是槎枿。有凾斯閼。匪顚匪揭。苞則㽕孽。春園澹澹。春木猗猗。肇彼𥠧萌。奄玆韡華。溫溫君子。令德不爽。如條斯驛。如葉斯牂。東園有李。北園有桃。維葉萋萋。維實之殽。方摘是凝。我客聿至。匪我私子。子有瓊玖。桑之沃若。我蠶旣浴。我箔載登。我杼攸作。我玄維私。我朱于公。龍鸞有煒。秩秩德容。毶毶春木。援我之手。爾貌有柔。爾屋無漏。徂華旣駛。矢心增惕。抑抑懿戒。先民是則。</text>
