<title>曉坐次屛上韻 十四歲作○戊子</title>,<text>鷄聲處處起。曉色分遠樹。片月半銜城。春雲忽欲雨。</text>
<title>雨中呼韻共賦</title>,<text>野雨知時好。蒲軒晝臥高。黃鸝依欅柳。粉蝶隱櫻桃。岸幘憑南戶。投筇上北臯。太和先自醉。不借一樽醪。</text>
<title>拈韻憶仲兒西遊</title>,<text>洞天三十六。聞在浿東頭。黃鶴千年去。蒼鼇萬里浮。愧吾拘俗累。愛汝作淸遊。更喜歸期近。今應宿月樓。</text>
<title>拈韻</title>,<text>峰壑陰初夕。宿雲餘雨含。宦遊滯西北。鄕夢入東南。詩席飛花亂。訟庭啼鳥參。村氓時有至。隱几聽農談。</text>
<title>將發京行。夜坐呼韻共賦。</title>,<text>行客催車馬。離筵欲曙天。身猶隴山裏。心已漢城邊。別意如流水。歸情似走烟。始知浮世事。難得一般圓。</text>
<title>玉溜泉</title>,<text>奇巖峭壁帶長流。一面淸泠特地幽。羣燕含泥紛上下。雙鳧浴浪或沉浮。危橋似線行堪渡。疊石如床坐可留。惟有玉泉依舊在。皇華遺跡使人愁。</text>
<title>族祖尙書公 明浩氏 三月行回巹宴。余時在隴西。未參宴席。四月因事入城。胤叔侍郞 羲臣氏 出示志喜詩軸。固要和韻。謹步族祖咸興公 彝浩氏 韻以呈。</title>,<text>白髮紅顔儼若仙。重逢今夕是何年。煌煌鸞誥夫人貴。翼翼鵷班宰相賢。南斗壽盃仍舊巹。東床賀讌勝新緣。乘龍因占維熊吉。卿月揚輝舞彩筵。</text>
<title>晨發餠隅 二首</title>,<text>靑石關前一路通。蒼蒼曉月萬山中。散盡林雲晴不雨。麥田生浪足凉風。從古峽中多虎豹。行人相戒出門遲。晨光月色朦朧裏。深樹奇巖處處疑。</text>
<title>擬杜甫嚴鄭公宅詠竹</title>,<text>階前新種竹。蒼翠滿庭墻。孤節千尋直。淸陰五月凉。天寒伴松色。歲暮襲梅香。颯颯凌雲勢。低看棨戟長。</text>
<title>擬唐人櫻園春讌</title>,<text>露濕瓊筵月滿蹊。佳人勸酒唱歌低。無數黃鸝驚復定。櫻桃花裏作雙棲。</text>
<title>次季兒別詩韻以贈 二首</title>,<text>炎程車馬關心多。意思搖搖風作波。問渠何以翁情慰。文史收神莫浪過。食厭膏粱衣縠羅。光陰荏苒似奔波。終看禽獸同歸處。慚負皇天賦予何。</text>
<title>擬唐人訪隱者不遇</title>,<text>花落猿啼人影稀。白雲峰下掩荊扉。西谷東厓空悵望。不知何處掛蘿衣。</text>
<title>擬唐人華淸宮 二首</title>,<text>金屋當年貯玉人。春風歌舞曲江濱。一曲霓裳猶未了。樓前胡騎暗驚塵。傾墻側壁歎行人。不見旌旗繞水濱。六更宮漏何時盡。已報麻姑碧海塵。</text>
<title>擬杜鋤斫果林枝蔓移床</title>,<text>亂枝揮斧盡。好樹拂雲齊。果熟憐沾露。魚游喜决泥。開荒通杖屐。養拙謝輪蹄。對酒秋陰淨。林邊日欲低。</text>
<title>次唐人閑吟韻</title>,<text>客裏光陰催客老。前山雨歇迷芳草。啼鶯乳燕共來還。綠樹畫樑知古道。</text>
<title>次陶靖節歸園田居韻</title>,<text>明月照綠水。白雲在靑山。隴西非吾土。銅符已三年。城角夜嗚嗚。樓鼓曉淵淵。東閣中夜思。悠悠漢南田。晩境諧夙願。混跡漁樵間。鷗鷺飛在後。鸛鶴鳴向前。優游送日月。瀟灑臥雲烟。荊釵橫雪鬢。葛巾岸霜顚。吟詩復對局。歡娛事事閑。人生貴愜意。歸來共欣然。</text>
<title>次居接諸老儒韻</title>,<text>英才多少老窮閭。雙鬢空皤白戰餘。素食未行三物敎。誤人詞賦愧鳶魚。</text>
<title>擬李白夏日山中</title>,<text>不巾又不襪。獨坐靑山中。莫敎搖大扇。萬壑生長風。</text>
<title>擬唐秋思</title>,<text>輕霜昨夜撲征衣。銀漢分明星欲稀。忽聽寒聲空裏急。蕭蕭鴈陣向南飛。</text>
<title>擬王右丞渭川田家</title>,<text>日出將牛去。日入隨鳥歸。孤烟生遠村。翠竹遶深扉。煕煕對妻孥。地僻客到稀。半酣唱耘歌。桑麻正依依。不向川上釣。或恐照少微。</text>
<title>擬唐人過楚宮</title>,<text>風流巫峽築仙宮。神女來時雨灑楓。獨有子䂓啼血苦。君王夢斷武關中。</text>
<title>隴西雜詠。得高字。</title>,<text>隴西自古多賢豪。漢家飛將才氣高。猿臂怒射中林虎。老石訇開鳴烏號。胡兒聞之哭且愁。陰山月黑爭遁逃。文章鉅工開元世。玉京謫下仙人曹。前身自稱金粟佛。須臾吸盡百斛醪。天子呼來醉眼迷。倒着接㒿揮彩毫。我今西來感邑名。下車問俗求才髦。古人不在山川空。悵望靑天白頭搔。桃李蹊荒文虹死。于今滿地生蓬蒿。秖幸昇平無警急。居民不作征戍勞。况復年豐村閭閒。城笳樓鼓作遊遨。且歎鸚鵡不可見。唯有黃鳥空銜桃。</text>
<title>得臥字</title>,<text>知府官不小。百里憂責大。光輝皁蓋建。恩榮銅符拖。前呵而後擁。高車五馬馱。陽春發呼吸。震霆生咳唾。朝夕厭粱肉。筆端湧百貨。萬事俱自足。誰念窮民餓。哀哀蔀屋下。痛苦如磨剉。鞭撻肌膚虧。徵求產業破。不敎且不養。溝壑其爾奈。緬憶古良吏。令譽百世播。庠塾日以勸。農桑日以課。坐堂或彈琴。閉閤或思過。倉箱旣富足。弦歌相切磋。民生共安樂。謠頌四境和。自慚空衰病。徒學長孺臥。隴水淸如氷。但恐貪泉涴。才乏牛刀利。割鷄刃亦挫。願追曹侯治。欲設蓋公座。未效弘農嘯。恨無汝南佐。蘇殘心謾勞。鉏强性苦愞。兢惕分憂眷。夙夜不敢惰。誰道長吏好。白髮添幾箇。淸漢流浩浩。日詠歸來些。</text>
<title>送兒後次陶韻</title>,<text>夜雨百花滋。灼灼吐新英。濕雲掩朝暉。稍慰送行情。笳角引前道。風吹翠蓋傾。鶯爲惜別啼。馬能戀顧鳴。去路詢疾苦。持告濟蒼生。</text>
<title>擬古詩。仍次其韻。七首</title>,<text>佳人年二八。花顔眉如柳。晨起理新妝。明鏡照蘭牖。羅裙繫細腰。珠箏弄纖手。朝迎西家郞。暮作東家婦。玉貌賤於土。何如空閨守。滚滚黃河水。巖巖泰山石。羲和爭走馬。倏忽如過客。百年鳥飛疾。千金蟬翼薄。人生貴行樂。繁華多京洛。不作塵世憂。日醉斗酒索。掉頭靑雲路。揮手朱門宅。喬松可招邀。蓬瀛在咫尺。肆志樂自在。寧爲物所迫。造化本無爲。萬物難自齊。我欲問蒼穹。蒼穹不可階。達士知天命。不喜復不悲。世人重哲婦。誰復思良妻。白首抱貞潔。空閨獨徘徊。抱琴不敢彈。或恐音聲哀。儔匹慚自求。良媒古來稀。鰌鱔嗟莫舞。泥龍會有飛。靑雲繞紫陌。丹霞棲蒼壁。松柏獨不改。靑靑霜雪歷。鍊我一粒丹。不願千金易。浮沈不相求。東西各自適。林間矜高飛。焉念垂天翼。睠彼朱門路。縱橫夜行跡。良驥羞自衒。從古困鹽軛。或恐浼我潔。永歎非我益。谷風吹習習。白雲覆崇阿。上有千丈松。下垂百尺蘿。妾身如白玉。沽衒非所宜。或恐霜飈早。芙蓉老澤陂。光陰迅如流。君來獨何遲。羡彼雙䲶鴦。羽毛生光輝。願君作雨露。莫使芳華萎。佳期會有時。欝欝竟何爲。中夜聞歎息。問是誰家女。寒機照落月。低頭頻停杼。欲從山川闊。重之多風雨。機絲紉不絶。縷縷寸心許。牛女悲隔河。可望不可語。奔流不再回。長川爭百道。春秋若朝暮。華葉忽衰草。昨日朱顔少。今朝白首老。世路多崎嶇。不如回頭早。滄桑亦倏忽。神仙非壽考。長與天地齊。道德爲至寶。</text>
<title>季兒寄示東嘉十詠。次韻以贈。東嘉。卽齋洞別稱。季兒所名也。</title>,<text>枝枝承月色。盤欝覆閒庭。淸吟坐其下。昭曠勝紅亭。右松間明月弱篠含貞操。羣芳不敢齊。自可風吹動。寧爲雪壓低。右竹裏淸風瀟灑名園裏。徘徊鶴一雙。莫爲稻粱足。能忘舊淸江。右林中雙鶴千年餘禹貢。積水落堯封。崚嶒三秀影。淸玩坐高舂。右庭畔三石東籬昨夜霜。萬朶發新黃。百花俱凄落。人間獨爾香。右東籬黃菊疎響雨灑檻。淸影月窺簾。香葉鳳棲老。宛如靑尾纖。右北園碧梧古槐覆石井。風動晩飛花。孫枝他日老。滿地綠陰多。右石井落槐一聲催秋氣。凉意生淸編。高吟夕陽樹。曳過疎雨天。右遠樹晩蟬玉簫時度曲。瓊液復盈樽。芳香勝美酒。莫作世沉昏。右曲欄獨酌習靜書樓上。芬華莫置懷。讀罷焚香坐。門無俗客來。右小樓焚香</text>
<title>擬唐人堤上行</title>,<text>斜風細雨綠江頭。多少行人下酒樓。日暮百帆爭渡外。菱歌淸唱響中流。</text>
<title>擬右丞奉和聖製春明樓望右相園林</title>,<text>平明玉輦出。行春上林路。宸心異逸樂。游豫爲侯度。萬物皆欣欣。龍光生眷顧。灼灼上陽花。蒼蒼五陵樹。沼魚游鱗紫。囿鶴舞羽素。契合感風雲。園林沾雨露。俯臨龍顔喜。秖爲良弼故。幸叨授簡列。微才愧七步。</text>
<title>擬唐人陌上暮春</title>,<text>六幅羅裙繡紫絲。鳴環曳履上樓遲。柳烟花雨城南陌。白馬郞君悵望時。</text>
<title>鷗湖十六詠呼韻</title>,<text>佳氣珠邱萬樹靑。暮雲愁色更冥冥。枝頭夜夜悲風起。半雜波聲入遠聽。右二陵松柏層岸平沙二水開。飛簷畫棟列樓臺。弄影魚龍還解笑。何曾一見主人來。右雙浦樓臺三峰迢遞吐祥雲。片片浮空曙色分。初似無心還出峀。翻成甘雨灑紛紛。右三角曉雲孤霞逈帶夕陽飛。向晩依山作翠微。影落波宮呈彩瑞。老龍游躍弄珠歸。右道峰晩霞山頂松間火照紅。平安一夕北南通。每夜浮烟靑不散。遙連祥靄到天中。右終南夕烽寂寂江樓曉月明。東風忽送遠鐘聲。鏜鏜喚罷幽人夢。遙想諸天禮佛情。右恩寺晨鐘春光北岸柳交花。紫霧靑烟十里斜。微風暗引夕陽照。影滿澄波香滿沙。右北岸花柳白露空江一夜秋。月明鷗鷺滿沙洲。漁舟十載相忘久。飛去飛來與共遊。右前沙鷗鷺前船後舫唱帆歌。帆腹西風飽得多。飛上灘頭爭道快。何如扁艇臥恬波。右梨灘風帆疎燈明滅照江間。罷釣漁翁睡正閒。寒笱烟洲星斗亂。老魚窺影撥波還。右龍淵漁火屋上樹頭奔赤濤。洶洶怒勢蹴天高。扁舟穩濟三千戶。副手梢工意氣豪。右纛島新漲家家烟起夕炊時。裊裊隨風水上移。西舍東庄渾莫辨。凝成輕霧散還遲。右新村暮烟峩嵳山色霧中迷。細雨隨風遠勢低。野麥渚花沾潤足。雙虹報道已隮西。右峩嵳微雨淅瀝北風星斗闌。千羣牧馬曉嘶寒。一夜雪埋江野闊。瑤田種玉喚龍看。右箭郊大雪六龍承日下西岑。海氣成雲疊作陰。紅暉不減朝暾射。映帶飛霞照水心。右文殊落照山罷微雲水散烟。一輪明月上東天。若解幽人湖上趣。淸光先到此樓邊。右龍門霽月</text>
<title>擬唐人中書寓直詠雨</title>,<text>春雲覆苑樹。宮殿雨中開。催下省畊詔。傳呼宰相來。</text>
<title>七夕拈韻</title>,<text>鵲翎烏羽濕僊香。橋渡雙星雨灑凉。籠鎖六龍東海底。千年不放此宵長。</text>
<title>官齋夜坐</title>,<text>待月開簾坐寂寥。夜來秋意動林臯。露寒眠鶴猶能穩。風急飛螢不敢高。樓角徒添雙鬢改。庭花未解寸心勞。共斟香茗開煩欝。何妨官厨禁釀醪。</text>
<title>次杜晴韻</title>,<text>風高秋雨捲。餘靄淨千林。野闊含新霽。峰明破宿陰。蝶憐花細潤。魚喜水添深。幸不妨初穫。寬吾畎畝心。</text>
<title>秋夜次右丞韻 三首</title>,<text>天半銀河一道長。流雲漂月濕淸光。隴山佳菊知秋早。素蘂丹英不待霜。露草蟲聲夜共長。風高天淨澹烟光。此身忘却官樓坐。萬峀千峰月似霜。月上東墻樹影微。空庭獨立露沾衣。遙望鄕山千里遠。蕭蕭寒響早鴻歸。</text>
<title>擬劉楨雜詩</title>,<text>日出官樓東。庭樹啼鳥散。淸靜少簿牒。老吏睡起晏。風動早秋菊。錦繡光凌亂。杖策登北園。翹首騁遐觀。寒聲感鄕思。翩翩一行鴈。願寄尺書去。直渡漢津瀾。</text>
<title>拈韻</title>,<text>公門寂寂似山居。自識衰翁政術疎。王道平生多枉學。還慚未讀管商書。</text>
<title>呼韻</title>,<text>蕭蕭秋響急。木落晩庭空。翻入東籬下。弄蘂作春風。</text>
<title>王昭君</title>,<text>纖腰佩安危。漢國鼎呂重。蛾眉出玉關。胡山失翠聳。紅粉照沙漠。烟塵淨塞隴。絶勝上將功。肯數後宮寵。未聞麟閣上。圖畫珠翠擁。君王眞薄恩。白磧留靑塚。唯有弔魂月。每從漢天湧。</text>
<title>九日登高。驛使過期不回。因次杜韻。</title>,<text>重陽添客思。扶杖上高臺。木落羣山出。烟收大野開。偏憐南鴈去。不見北書來。楓菊雖云好。風霜逼歲催。</text>
<title>擬謝靈運齋中讀書</title>,<text>珪組非我志。膏肓在泉壑。簿書來頻仍。襟期還寂寞。吏退日向夕。庭樹集栖雀。悠然坐拄笏。前山暮雲作。官酒未盪胷。誰與共懽謔。還讀床頭書。孤燭照虛閣。古人慰我情。莊生有至樂。君子貴達命。晩契江湖託。</text>
<title>次老杜秋興八首</title>,<text>霜落川原風滿林。寒光疎影共蕭森。微雲捲送千山色。淡靄晴收萬壑陰。老鶴空驚故園夢。歸鴻難慰此宵心。昇平四海無征戍。底事家家亂搗砧。右隴西卽事粉堞逶迤臨水斜。關西自古劇繁華。平田石老分箕井。暮渚烟愁繫漢槎。樓上春風留妙舞。城頭曉月響悲笳。登高無處開心目。遙憶江山鏡裏花。右憶平壤澄江朝日吐新暉。十里烟波澹欲微。鏡裏高樓臨水聳。灘頭輕帆帶風飛。魚龍自得如相識。鷗鷺無猜不與違。回首滄洲秋已晩。范公鰕菜幾時肥。右憶鷗湖華構麗譙散似棋。黃塵荒草不勝悲。北渠貯水田千頃。東郭訪花春幾時。山護珠邱愁簇簇。臺臨鑾路恨遲遲。綠袍猶濕西辭淚。殿角祥雲入夢思。右憶華城淸溪一道貫千山。中有仙居積翠間。明月凉風心不競。閑雲流水意相關。如棲巖屋能忘世。不借金丹可駐顔。堪憐麋鹿離羣久。空對庭前鴈鶩班。右憶淸潭浮香遍滿大池頭。十里芙蓉七月秋。老石苔留神女蹟。荒城雲散戰塵愁。吟風百種湖中鳥。眠月千羣海上鷗。蓮舫舊游那可忘。至今疑在古杭州。右憶延安崧嶽巖巖一統功。凄凉王氣暮烟中。橋頭玉笛吹寒月。陌上羅裙拂遠風。雷鬬瀑流千丈白。霜殘楓葉萬重紅。回看老石含寃血。六百年間有一翁。右憶松京山圍水繞勢逶迤。大道中橫平不陂。天朗極星增瑞彩。春深喬木長孫枝。衣冠城闕靑雲起。鍾鼎樓臺白日移。遙望吾家依尺五。霜顚空滯海西垂。右憶漢城</text>
<title>呼韻 三首</title>,<text>星月秋天一色澄。分明勝似水晶燈。老兎寒蟾如有意。遠來偏照玉壺氷。寂寂秋齋夜氣澄。相參秖有壁間燈。老妻稚女渾深睡。自起開門月似氷。深更相對兩心澄。稚女看書獨點燈。三年空飽官厨食。白首襟期愧蘖氷。</text>
<title>用唐人韻。詠歸鴈。四首</title>,<text>一陣蕭蕭鴈。春來又秋去。萬里瀟湘北。蘆花月明處。花開有意來。霜落無情去。寒雨蕭蕭夜。莫嘶孤客處。羣飛嶺上過。急叫雲邊去。俯視大江南。烟沙知幾處。我在已三年。今秋爾獨去。憑寄還鄕夢。直到看雲處。</text>
<title>次東坡詠雪</title>,<text>漏壺凍滴響纖纖。向曉東風吹雪嚴。初似白楡飄素蕊。更如靑海散明鹽。玉鱗閃爍龍蟠樹。錦翼翩翻鳳舞簷。萬象渾森高閣望。平崗疊嶂失圓尖。</text>
<title>次秋山韻</title>,<text>前村佳色爛秋風。赤是霜楓碧是松。捲罷雲烟晴若掃。千峰眞面露重重。</text>
<title>以紅入桃花嫩靑歸柳葉新爲韻。命題賦各體。</title>,<text>浩蕩春光四望同。千條柳拂百花叢。連天城闕靑烟裏。撲地樓臺紫霧中。學士詩樽留淑景。游人絲管競香風。林間倦步隨棲鳥。歸路添生返照紅。右賞春金粟下人間。高名滿都邑。詩酒凌一世。神龍脫覊馽。百編驪珠吐。千斛鯨川吸。萬乘是何官。白眼欲長揖。擧觴問靑天。神思如雲集。廬瀑雷霆鬬。鳳臺神鬼入。日醉襄陽池。豪興追山習。揮毫鮑庾僵。傾罍阮劉泣。騎月朝玉京。采石風濤急。餘唾留塵世。瓊琚藏十襲。讀之爽心口。如服金丹粒。僊僊欲輕擧。聞風懦者立。伊人不可見。百代誰能及。右李謫仙春入城東萬樹桃。紅霞紫霧擁林臯。始識仙源眞境在。回憐漁子夢徒勞。右詠桃霜後已無靑草。人間獨有黃花。寧同潘岳新縣。恰似淵明故家。右詠菊東風吹雨過。芳草吐新嫩。極目望平郊。靑烟迷近遠。右詠草積水連天闊。滄洲一小亭。風來秋浪白。日落晩潮靑。草樹迷孤島。雲烟隔遠汀。廻檣眠鷺避。弄笛老龍聽。斷岸初憑檻。輕波更泛舲。野光侵帆迥。山影戛舷冥。菡萏香猶剩。蒹葭露欲零。鴈飛掠斜月。魚躍亂疎星。眺望平沙盡。沿洄極浦停。歌朋扣短枻。醉客倒雙甁。將伴賀監老。寧隨屈子醒。蓬萊如可到。直欲渡東溟。右江游隨陽來有信。南北不忘歸。排陣縱橫上。成行次第飛。嘶雲淸渭影。眠月洞庭輝。憐爾儀霄羽。冥翔早見幾。右詠鴈我欲千古求尙友。柴桑處士超俗臼。荒田秫自耕數畝。小縣米不戀五斗。高情與世相違久。先生一生逃於酒。東籬黃菊門前柳。山中春秋此看取。唯有漉酒巾戴首。唯有無絃琴在手。晝眠淸風吹北牖。夜醉明月照虛卣。獨往深林登崇阜。閉門不向風塵走。託身羲皇無憂咎。素心只許南村叟。志操遠追夷齊後。文章高出鮑謝右。一飮一詠更何有。閒雲倦鳥不相負。漢上田園不蕪否。獨慚白頭隴西守。右陶徵君亭亭者荷。于彼古涉。娟娟其華。靑靑其葉。其香維何。郁郁可浥。其色維何。孔陽燁燁。旣貞且潔。汚泥不帖。不曲而通。厥德載協。朝舒暮斂。陰陽之燮。正色可望。溫容可接。特立不撓。高風誰躡。君子德儀。中存外浹。其誰之愛。濂水渫渫。可玩可親。我心是愜。右詠蓮天氣氤氳物色新。如雲游女曲江濱。香車寶馬含朝日。紅頰靑蛾照暮春。頭上釵搖金翡翠。腰間帶壓玉麒麟。輕盈繡袂沾花露。嫋娜羅裙拂柳塵。神女行迷雲出楚。仙娥夢斷月橫秦。含情捎蝶搖珠扇。喚侶調鸚坐錦茵。燕舞時廻翻紫袖。鸎歌初和啓丹唇。桃腮臨水窺紅晩。蓮步穿林拾翠頻。鶴立凌波想東洛。魚沈解佩接西津。晴烟香陌鬬纖草。細霧芳洲採白蘋。十院繁華回首地。五陵多少斷腸人。漢南古化喬陰盡。深處中閨莫玷身。右游女</text>
<title>次李白韻</title>,<text>倦夢昏昏倒枕間。須臾遍踏十洲還。靈芝仙酒猶餘醉。不覺吾身在隴山。</text>
<title>次唐人韻</title>,<text>深閤帷屛煖。渾忘十月天。遙憐巖屋裏。寒士不堪眠。</text>
<title>示兩女</title>,<text>大女如溫玉。小女如明鏡。美質固有自。流潔知源淨。</text>
<title>夜坐呼韻 二首</title>,<text>畫屛銀燭擁茶爐。不識寒風戶外呼。却恨蒼生愁凍餓。何時遍得飽溫無。裊裊香烟上小爐。深更獨坐絶喧呼。神游若夢還非夢。萬象依依入有無。</text>
<title>口號</title>,<text>北園纔發花。南麓已飛雪。隴頭何所見。三十上弦月。</text>
<title>次杜</title>,<text>指北璇杓正。轉西銀漢斜。鶴來雪滿樹。鴈去月虛沙。茶啜纖纖稏。燈看疊疊花。寒笳動歸意。驛路夢中賖。</text>
<title>和右丞望藍田山韻</title>,<text>別路樽前長。雲霧倏明晦。落日諸天上。山光千里外。蕭蕭西征客。驅馬向古塞。行塵日以遠。秋風吹車蓋。</text>
<title>呼韻詠鶴 二首</title>,<text>隴山無鸚鵡。隴山有白鶴。俛首啄蟲蟻。一擧九天薄。丹頂復玄裳。滔滔摠名鶴。野鶴汙泥浴。仙鶴雲霄薄。</text>
<title>次唐人王校書山齋</title>,<text>羣峰寂寂繞柴扉。雲鎖松陰剝啄稀。客子山房今夜宿。主人天祿幾時歸。孤燈冷戶茶烟歇。積雪空庭鶴影微。唯有一輪溪上月。多情來照舊游磯。</text>
<title>偶吟</title>,<text>長嘯望南山。官樓映朝日。行人斷橋過。飛鳥疎林出。</text>
<title>次季兒雪夜韻 二首</title>,<text>有志空成老。無才可救焚。身淹隴西日。目斷漢南雲。候月凭欄曲。吟詩到夜分。歸來猶未賦。羇跡愧徵君。歲暮離懷切。迢迢不在傍。存心宜坐靜。損志恐奔忙。錦繡元羞辱。詩書有寵光。歸遲猶莫恨。但願好修藏。</text>
<title>夜坐呼韻</title>,<text>萬壑千林積雪明。寒鴉冷雀噤無聲。隴頭日落行人絶。天末流雲凍不輕。</text>
<title>次季兒寄示韻。用仄平體。</title>,<text>歲色隴外暮。斜陽過西岑。旅舘苦積雪。官齋嘆窮陰。去馬度曠野。棲禽投疎林。杳杳倚斗夢。悠悠看雲心。秉燭興已足。烹茶情還深。暇日合坐嘯。良宵宜行吟。曉近咽畫角。風高催寒砧。篋貯德耀服。床橫淵明琴。吏隱謾有號。塵擾空相侵。抱樸獨自樂。何須求知音。</text>
<title>次王右丞韻</title>,<text>扶杖入園逕。不用策肥馬。振衣淸溪上。掩門翠山下。籬菊淸可湌。谷蘭香堪把。過從多好伴。樵叟與漁者。江村無俗事。託跡鷗鷺社。</text>
<title>李上舍士宗 正儒，金生平仲適來會。拈韻共賦。</title>,<text>歲暮羇懷對客寬。燈前談笑舊時歡。良宵自惜星移樹。短髮空羞雪滿冠。情缺爐頭三斗醉。愁深戶外萬家寒。相逢一席仍相別。他日難忘此夜看。</text>
<title>留李士宗夜話。拈韻共賦。</title>,<text>樓高寒有月。天闊淨無雲。開口皆情話。披胷摠古文。十年今始合。三日又將分。別意孤燈照。相看歎白紛。</text>
<title>聞伯氏東藩之命。不勝悵慕之懷。遂成絶句以呈。六首</title>,<text>東藩新命出殊恩。玉節金章刺史尊。手擎尺牘交欣感。欲說先朝淚已捫。隴洛迢迢三百里。暮年離別不勝愁。猶將驛騎來朝夕。相報平安慰白頭。東出雉岑遙更遙。天涯相望覺魂銷。魚來鴈去遲遲恨。寒夢那堪度十宵。弟兄各在海東西。杳隔山川夢欲迷。刺史尊榮都護貴。不如湖舍兩相携。千里關東照福星。山氓不病海丁寧。仁似陽春淸似蘗。承流惠澤注滄溟。蓬萊閣上春風轉。籠水亭前秋月明。好是從容陪笑地。離憂銷盡作歡情。</text>
<title>擬滕王閣宴。禁用王勃序詩中字。</title>,<text>巴峽前頭楚岸邊。危樓縹緲坐飄然。澄波開鏡紋窓倒。碧峀圍屛錦纜牽。鷺倚柳磯窺綺席。魚吹楓浪聽瑤絃。毫端才藻愁神鬼。箇箇驪珠映剡牋。其二。全用序詩中字。畫閣南臨帝子洲。江湖萬里水雲秋。層巒霜落寒光暮。極浦烟生翠影流。海鶴孤飛廻桂宇。汀鴻晩響唱蘭舟。華筵歌舞今來再。暇日高賓作勝遊。</text>
<title>次季兒寄示韻</title>,<text>客到西樓月上岑。庭松階竹影相侵。靈光自射酆城劒。古調愁彈陋巷琴。香撲玄氷梅發閤。聲盤碧落鶴鳴陰。天涯吟望對孤燭。搖落殘年旅舘心。</text>
<title>次右丞韻</title>,<text>高閣夜光虛。空林寂無響。窓間人不眠。月出寒山上。</text>
<title>詠鴻</title>,<text>南天已有早飛鴻。七澤三江一半空。憐爾禽中先得氣。隨陽不怕朔方風。</text>
<title>呼韻共賦</title>,<text>野外艱虞重。慵眠未到朝。春陽猶稚弱。風雪劇狂驕。鄙念都憐肉。寒愁不在貂。窮閭森眼底。燭影共心搖。</text>
<title>待鶯 庚午</title>,<text>春陽氷雪盡。綠葉囀黃鶯。頻看舊棲處。却喜有新聲。</text>
<title>用元微之早春韻。自詠。</title>,<text>百斛胷中釀太和。有時還發楚狂歌。漸聞枝上禽聲緩。猶見山頭雪色多。草意潛萌黃蝶圃。氷心暗動白鷗波。虛樓獨遡東風立。雉嶽蒼茫路幾何。</text>
<title>次孟浩妾有盤龍鏡</title>,<text>紅妝久不理。芳愁對鏡發。欲拋雲霄上。化作一輪月。聊將妾形影。流照君顔髮。更願照兩心。相見不相別。</text>
<title>詠春江</title>,<text>春水新生碧滿江。桃花浪靜倚篷窓。烟空沙白淸無限。天上波間月影雙。</text>
<title>次唐人山館</title>,<text>閉門空山裏。時有明月來。滿地花影散。饑鶴啄靑苔。</text>
<title>次杜桃樹</title>,<text>五樹短桃階下斜。柴門不閉好重遮。隣童學竊千年實。村女空歎二月花。不見枝邊棲老鶴。惟聞葉裏聒昏鴉。要將浩蕩陽春意。四海噓生亂後家。</text>
<title>次右丞竹裏館</title>,<text>抱膝對靑山。望雲更舒嘯。疎竹生晩陰。蒼蒼坐返照。</text>
<title>次右丞輞川別業</title>,<text>松竹西莊卜晩年。幽居生理足山田。梵書床上舒還捲。丹火爐中宿復然。野花政自交紅碧。社酒何須別聖賢。更喜隱淪多好伴。相隨水北到村前。</text>
<title>次杜江上</title>,<text>霜落江波冷。魚龍已覺秋。風流携美醞。老病戀重裘。遙望天低水。高憑月入樓。白頭垂釣者。扁艇任行休。</text>
<title>次孟夕陽度西嶺</title>,<text>遠樹收返照。蒼蒼寒烟暝。皎月落楓潭。金波揚不定。援琴彈古調。山鬼潛來聽。寂寂掩荊扉。白雲鎖林徑。</text>
<title>次唐採蓮</title>,<text>花深人不見。歌曲在中流。滿江香霧裏。盡是採蓮舟。</text>
<title>戚從叔李參奉仲存氏輓 三首</title>,<text>眉宇玉壺淨。胷襟秋水淸。詩書身上穩。名利夢中驚。賦茗爭奇謔。看梅倒淺觥。兩心披露盡。靑眼共平生。嚴風摧玉樹。蕭瑟響凄哀。已別塵寰去。應從閬苑回。暗流千里淚。永阻百年懷。落月驚殘夢。相迎戶欲開。久厭玆塵濁。如公此世稀。文章餘事是。富貴素心非。論調誰能和。開懷兩不違。悠悠今已矣。悵望淚盈衣。</text>
<title>次唐春題龍門香山寺</title>,<text>一筇春晩到琳宮。俯視塵寰大界空。玉塔亭亭承佛日。薝林寂寂灑天風。無邊花雨三藏外。不壞金身百劫中。矗矗蓮峰環法象。恒河何處妙源窮。</text>
<title>呼韻</title>,<text>隴西柳初舒。漢南梅應發。夜夜上高樓。爲望東天月。</text>
<title>憶鄕梅</title>,<text>墻南池北兩株梅。素蘂紅英相暎開。春光自惜三年別。疎影依依入夢來。</text>
<title>次杜</title>,<text>西州如故土。三見柳條靑。經雨詢南畝。尋春上北亭。林禽啼客慣。簷磬喚愁醒。返景添佳氣。籠山作畫屛。</text>
<title>春</title>,<text>三月龍泉尙早春。柳絲新暗拂輕塵。聊知種黍西疇者。爭勝看花北陌人。</text>
<title>次右丞送人</title>,<text>相送秋日晩。離樽酒已空。摻手不忍分。忽聽雲際鴻。駐馬折贈柳。別鶴啼孤桐。迢遞望行塵。獨立歎衰翁。月出驛樹外。分照路西東。</text>
<title>次杜夜</title>,<text>寒霧依林薄。明星照水稀。鳥棲疎葉墜。犬吠遠人歸。對月琴聲緩。臨風酒力微。蕭蕭霜信早。劒外鴈南飛。</text>
